year,date_,location,point_x,point_y
2023,2023-02-20 00:00:00+00,400 BLOCK MECHANIC ST,-75.17141897,40.04472736
2023,2023-02-20 00:00:00+00,15TH ST AND LEHIGH AVE,-75.15623091,39.9941583
2023,2023-02-20 00:00:00+00,1900 BLOCK N 31ST ST,-75.18433296,39.9855716
2023,2023-02-20 00:00:00+00,2900 BLOCK DEVEREAUX AVE,-75.06520486,40.02848079
2023,2023-02-21 00:00:00+00,600 BLOCK RITNER ST,-75.15746659,39.91896044
2023,2023-02-21 00:00:00+00,800 BLOCK TANEY ST,-75.18041301,39.97075927
2023,2023-02-21 00:00:00+00,1900 BLOCK W MONTGOMERY AVE,-75.16557602,39.98124756
2023,2023-02-21 00:00:00+00,1900 BLOCK W MONTGOMERY AVE,-75.16557602,39.98124756
2023,2023-02-21 00:00:00+00,700 BLOCK E HILTON ST,-75.11611461,39.99733335
2023,2023-02-21 00:00:00+00,2400 BLOCK N SYDENHAM ST,-75.15782034,39.99039797
2023,2023-02-21 00:00:00+00,1800 BLOCK ROSELYN ST,-75.15023876,40.04562469
2023,2023-02-22 00:00:00+00,5200 BLOCK GIRARD AVE,-75.22590136,39.9714191
2023,2023-02-22 00:00:00+00,2900 BLOCK FRANKFORD AVE APT B,-75.11543697,39.99042487
2023,2023-02-22 00:00:00+00,2100 BLOCK E ALLEGHENY AVE,-75.10941536,39.99185197
2023,2023-02-23 00:00:00+00,3000 BLOCK ELLA ST,-75.12735538,39.99517166
2023,2023-02-23 00:00:00+00,400 BLOCK PARLIN ST,-75.03001149,40.11313423
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,3100 BLOCK W NORRIS ST,-75.18417954,39.98672162
2023,2023-02-23 00:00:00+00,2200 BLOCK S 27TH ST,-75.1914479,39.92520222
2023,2023-02-23 00:00:00+00,5100 BLOCK N 12TH ST,-75.14269834,40.03034643
2023,2023-02-24 00:00:00+00,1700 BLOCK N 7TH ST,-75.14688491,39.97731769
2023,2023-02-25 00:00:00+00,2500 BLOCK W HAROLD ST,-75.1727241,39.99517602
2023,2023-02-25 00:00:00+00,1300 BLOCK S MELVILLE ST,-75.20745365,39.9433749
2023,2023-02-25 00:00:00+00,1700 BLOCK WINDRIM AVE,-75.15126902,40.0271768
2023,2023-02-26 00:00:00+00,6200 BLOCK LARGE ST,-75.07679972,40.03666793
2023,2023-02-26 00:00:00+00,8000 BLOCK GILBERT ST,-75.17064761,40.07152319
2023,2023-02-26 00:00:00+00,1200 BLOCK W LEHIGH AVE,-75.15102274,39.99356397
2023,2023-02-26 00:00:00+00,3500 BLOCK KENSINGTON AVE,-75.10620557,40.00052452
2023,2023-02-27 00:00:00+00,2200 BLOCK W DAUPHIN ST,-75.16894019,39.98955159
2023,2023-02-27 00:00:00+00,800 BLOCK E WILLARD ST,-75.11449154,39.99775884
2023,2023-02-27 00:00:00+00,2700 BLOCK GIRARD AVE,-75.18137163,39.9743582
2023,2023-02-28 00:00:00+00,5500 BLOCK OLD YORK ROAD,-75.14463646,40.03694388
2023,2023-03-02 00:00:00+00,2400 BLOCK N 10TH ST,-75.1486731,39.98853404
2023,2023-03-02 00:00:00+00,4300 BLOCK N MARSHALL ST,-75.13748956,40.01747913
2023,2023-03-02 00:00:00+00,0 BLOCK W QUEEN LANE,-75.1740625,40.02702183
2023,2023-03-03 00:00:00+00,1900 BLOCK DALKEITH ST,-75.15789497,40.01870925
2023,2023-03-03 00:00:00+00,1300 BLOCK WAGNER ST,-75.1452841,40.03179428
2023,2023-03-04 00:00:00+00,1100 BLOCK W VENANGO ST,-75.1466394,40.00701847
2023,2023-03-04 00:00:00+00,3700 BLOCK N CARLISLE ST,-75.15220473,40.01017469
2023,2023-03-04 00:00:00+00,6000 BLOCK SANSOM ST,-75.24129908,39.95968627
2023,2023-03-04 00:00:00+00,6000 BLOCK SANSOM ST,-75.24129908,39.95968627
2023,2023-03-04 00:00:00+00,6000 BLOCK HADDINGTON LANE,-75.24055386,39.97736472
2023,2023-03-04 00:00:00+00,2100 BLOCK N 22ND ST,-75.16946788,39.98702732
2023,2023-03-04 00:00:00+00,2000 BLOCK W CHAMPLOST ST,-75.15396051,40.0458209
2023,2023-03-04 00:00:00+00,4300 BLOCK LAWNDALE ST,-75.10493531,40.01336119
2023,2023-03-05 00:00:00+00,0 BLOCK N 63RD ST,-75.24636127,39.96408351
