year,date_,time,race,sex,age,wound,location,point_x,point_y,fatal
2016,2016-09-13 00:00:00+00,21:56:00,W,M,21,head,1800 BLOCK Snyder Ave,-75.17715096,39.92554486,1
2016,2016-07-09 00:00:00+00,01:13:00,B,M,50,Multiple,2500 BLOCK Ritner St,-75.18866715,39.92299223,0
2021,2021-12-30 00:00:00+00,17:13:00,B,M,32,Multiple,2100 BLOCK ETTING TERRACE,-75.19113056,39.92553455,1
2015,2015-04-02 00:00:00+00,01:40:00,W,M,26,Leg,2000 BLOCK Synder Ave,-75.14587242,39.92205576,0
2018,2018-11-22 00:00:00+00,10:30:00,B,M,28,Chest,1800 BLOCK S RINGGOLD ST,-75.18587255,39.92994701,0
2023,2023-04-06 00:00:00+00,17:11:00,B,M,28,Leg,2200 BLOCK S 22ND ST,-75.18310312,39.92473271,0
2022,2022-06-08 00:00:00+00,15:49:00,B,M,57,Multiple,2700 BLOCK WINTON TERR,-75.19172401,39.92526857,1
2018,2018-07-15 00:00:00+00,23:39:00,B,M,40,Chest,2000 BLOCK S Norwood St,-75.18151024,39.92695279,1
2022,2022-03-29 00:00:00+00,10:29:00,A,M,52,Multiple,2800 BLOCK JACKSON ST,-75.19293115,39.92625574,0
2017,2017-12-17 00:00:00+00,10:17:00,A,M,36,Head,3600 BLOCK S Broad St,-75.1743274,39.90465065,0
2022,2022-04-16 00:00:00+00,17:14:00,B,M,22,Multiple,2100 BLOCK S OPAL ST,-75.17874445,39.92540974,1
2016,2016-07-24 00:00:00+00,10:51:00,B,M,22,Foot,1800 BLOCK Snyder Ave,-75.17637936,39.92523089,0
2019,2019-06-15 00:00:00+00,21:22:00,B,M,51,Leg,2600 BLOCK S 26th St,-75.19105994,39.91902903,0
2016,2016-01-27 00:00:00+00,20:55:00,B,M,22,Leg,2700 BLOCK Snyder Ave,-75.19100823,39.9270761,0
2019,2019-03-06 00:00:00+00,20:50:00,B,F,28,Leg,2300 BLOCK Bambrey Terr,-75.18999711,39.92333203,0
2016,2016-01-27 00:00:00+00,20:55:00,B,M,16,Back,2700 BLOCK Snyder Ave,-75.19100823,39.9270761,0
2016,2016-08-20 00:00:00+00,19:02:00,B,M,35,Multiple,2000 BLOCK S Colarado St,-75.17510077,39.92568721,0
2023,2023-04-06 00:00:00+00,17:11:00,B,M,31,Leg,2200 BLOCK S 22ND ST,-75.18310312,39.92473271,0
2016,2016-08-25 00:00:00+00,17:53:00,B,M,23,Multiple,2700 BLOCK Snyder Ave,-75.19100823,39.9270761,0
2016,2016-09-18 00:00:00+00,02:03:00,B,M,23,Leg,2800 BLOCK Jackson St,-75.19351931,39.92621508,0
2016,2016-07-24 00:00:00+00,10:51:00,B,M,26,Foot,1800 BLOCK Snyder Ave,-75.17637936,39.92523089,0
2021,2021-09-21 00:00:00+00,11:23:00,B,M,35,Leg,2500 BLOCK W PASSYUNK AVE,-75.19006662,39.92173853,0
2018,2018-08-31 00:00:00+00,23:14:00,B,M,20,Arm,2000 BLOCK S Croskey St,-75.18322977,39.92672294,0
2018,2018-01-23 00:00:00+00,11:41:00,B,M,18,Multiple,2200 BLOCK S Hemberger St,-75.18433749,39.92398014,0
2018,2018-12-30 00:00:00+00,16:27:00,B,M,18,Leg,25TH  /  DURFOR ST,-75.18846689,39.92382443,0
2018,2018-06-01 00:00:00+00,23:36:00,B,M,50,Hand,2200 BLOCK Moore St,-75.18200996,39.9297326,0
2018,2018-09-29 00:00:00+00,21:20:00,B,M,17,Multiple,2100 BLOCK McKean St,-75.1809235,39.92707238,0
2019,2019-02-16 00:00:00+00,22:12:00,B,M,49,Head,2100 BLOCK Taney Terrace,-75.19074733,39.92606713,1
2022,2022-09-22 00:00:00+00,19:06:00,B,F,16,Abdomen,2200 BLOCK S 27TH ST,-75.19147965,39.92518972,0
2022,2022-08-28 00:00:00+00,18:31:00,B,M,65,Leg,2500 BLOCK JACKSON ST,-75.18925566,39.92564244,0
2022,2022-03-01 00:00:00+00,,,M,,,1700 Block of Barbara St,-75.17716227,39.9151684,
2016,2016-08-18 00:00:00+00,23:41:00,B,M,39,Stomach,1900 BLOCK S 23RD ST,-75.18393855,39.92864481,0
2016,2016-08-18 00:00:00+00,23:41:00,B,M,44,Multiple,1900 BLOCK S 23RD ST,-75.18393855,39.92864481,0
2018,2018-06-19 00:00:00+00,21:34:00,B,M,61,Chest,2100 BLOCK Taney Terr,-75.19083521,39.92622915,1
2018,2018-07-12 00:00:00+00,00:01:00,B,M,19,Arm,1900 BLOCK S 23rd St,-75.18393855,39.92864481,0
2021,2021-11-16 00:00:00+00,17:11:00,B,M,26,Multiple,2100 BLOCK TANEY TERR,-75.19067478,39.92586212,1
2019,2019-03-05 00:00:00+00,21:20:00,B,M,18,Back,2200 BLOCK Point Breeze Ave,-75.1924305,39.9260952,0
2023,2023-07-05 00:00:00+00,13:58:00,B,M,39,Leg,1800 BLOCK SIGEL ST,-75.17553378,39.92806931,0
2022,2022-11-10 00:00:00+00,14:05:00,B,F,43,Multiple,4000 BLOCK S 26TH ST,-75.19380162,39.89969987,0
2019,2019-06-24 00:00:00+00,21:51:00,B,F,51,Leg,2100 BLOCK BAILEY TER,-75.1902351,39.92629603,0
2022,2022-07-06 00:00:00+00,,,M,,,400 Block of South St,-75.14920554,39.94156887,
2019,2019-06-24 00:00:00+00,21:51:00,B,F,43,Neck,2100 BLOCK BAILEY TER,-75.1902351,39.92629603,1
2022,2022-06-08 00:00:00+00,15:49:00,B,M,33,Multiple,2700 BLOCK WINTON TERR,-75.19172401,39.92526857,1
2019,2019-04-10 00:00:00+00,11:55:00,B,M,24,Chest,2000 BLOCK Sigel St,-75.17903777,39.92851796,1
2021,2021-10-06 00:00:00+00,19:45:00,W,M,60,Multiple,1900 BLOCK S CHADWICK ST,-75.17345669,39.9273285,0
2016,2016-07-30 00:00:00+00,02:43:00,B,M,23,Chest,2400 BLOCK S24th St,-75.18722368,39.92270105,1
2016,2016-08-29 00:00:00+00,20:38:00,B,M,11,Leg,2100 BLOCK S Etting Terrace,-75.19133945,39.92599788,0
2020,2020-03-24 00:00:00+00,17:41:00,B,M,24,Multiple,2200 BLOCK MCKEAN ST,-75.1829295,39.92737987,0
2016,2016-09-03 00:00:00+00,20:22:00,B,M,21,Multiple,2300 BLOCK S 25th St,-75.18841256,39.92419582,0
2016,2016-03-22 00:00:00+00,11:08:00,W,M,20,Buttocks,2200 BLOCK Point Breeze Ave,-75.19240472,39.92608047,0
2016,2016-05-28 00:00:00+00,15:17:00,B,M,41,Leg,1800 BLOCK S 23rd St,-75.18378641,39.92891032,0
2016,2016-07-24 00:00:00+00,11:33:00,B,M,36,Multiple,2000 BLOCK SNorwood St,-75.18144151,39.92702253,0
2017,2017-09-26 00:00:00+00,12:26:00,B,M,19,Leg,1900 BLOCK S Croskey St,-75.18302685,39.92766776,0
2019,2019-03-30 00:00:00+00,21:57:00,W,M,20,Chest,1900 BLOCK Pattison Ave,-75.18153864,39.90637571,1
2017,2017-07-10 00:00:00+00,21:53:00,B,F,45,Leg,1900 BLOCK McKean St,-75.17743556,39.92662501,0
2022,2022-01-04 00:00:00+00,,,M,,,1900 Block of S Bancroft St,-75.17303658,39.92728126,
2015,2015-04-24 00:00:00+00,,,M,,,2500 Block of Ritner St,-75.18870837,39.92296863,
2024,2024-06-26 00:00:00+00,20:38:00,B,M,21,Chest,2200 BLOCK S 23RD ST,-75.18475402,39.92495254,1
2019,2019-11-01 00:00:00+00,11:57:00,B,M,33,Chest,2100 BLOCK Jackson St,-75.18146237,39.92461934,1
2019,2019-07-24 00:00:00+00,04:14:00,B,M,32,Leg,2100 BLOCK Bailey Terr,-75.19048154,39.92669935,0
2017,2017-01-20 00:00:00+00,01:10:00,B,M,31,Head,2100 BLOCK Sigel St,-75.18133466,39.92881393,1
2017,2017-07-30 00:00:00+00,11:00:00,B,M,21,Shoulder,2500 BLOCK Mckean St,-75.18909861,39.92811372,0
2019,2019-04-13 00:00:00+00,23:16:00,B,M,31,Leg,2200 BLOCK Sigel St,-75.18338762,39.92907677,0
2019,2019-04-25 00:00:00+00,,,M,,,2100 Block of Taney Terrace,-75.19106155,39.9264974,
